battery_id,operation_index,discharge_cycle,ambient_temperature_C,start_time,capacity_Ah,sample_index,time_s,voltage_measured_V,current_measured_A,temperature_measured_C,current_load_A,voltage_load_V,delta_time_s,voltage_change_V,temperature_change_C,current_change_A,normalized_time,temperature_rise_C,voltage_drop_from_start_V,next_voltage_V,next_temperature_C,next_time_s,prediction_horizon_s
B0029,2,1,43.0,2009-04-07 16:31:01,1.697507332205763,1,9.358999999999998,4.122758586822445,-0.0003206602131699,43.40626577176862,0.0006,4.138,9.358999999999998,0.00012274053095406856,-0.00891203761741366,0.0002867747004418,0.00595220302742567,0.40626577176862355,-0.00012274053095406856,3.80454444139688,43.44300568010792,19.453,10.094000000000001
B0029,2,1,43.0,2009-04-07 16:31:01,1.697507332205763,2,19.453,3.80454444139688,-4.0242058897714,43.44300568010792,3.995,1.854,10.094000000000001,-0.31821414542556514,0.03673990833929963,-4.02388522955823,0.012371856554387389,0.4430056801079232,0.3180914048946111,3.779299708958487,43.55895892484553,28.781,9.328
B0029,2,1,43.0,2009-04-07 16:31:01,1.697507332205763,3,28.781,3.779299708958487,-4.0211881044281785,43.55895892484553,3.995,1.82,9.328,-0.02524473243839287,0.11595324473760371,0.003017785343221391,0.018304343982512898,0.5589589248455269,0.34333613733300394,3.75890693774724,43.72155018599956,38.156000000000006,9.375000000000007
B0029,2,1,43.0,2009-04-07 16:31:01,1.697507332205763,4,38.156000000000006,3.75890693774724,-4.022193608909733,43.72155018599956,3.995,1.806,9.375000000000007,-0.02039277121124705,0.16259126115403433,-0.0010055044815544534,0.024266722803125754,0.7215501859995612,0.363728908544251,3.741408470691656,43.88622270502331,47.516,9.359999999999992
B0029,2,1,43.0,2009-04-07 16:31:01,1.697507332205763,5,47.516,3.741408470691656,-4.022328305816472,43.88622270502331,3.995,1.789,9.359999999999992,-0.017498467055583777,0.16467251902374613,-0.00013469690673861834,0.03021956181762562,0.8862227050233074,0.3812273755998348,3.726137410600065,44.062930407879854,56.844,9.328000000000003
B0029,2,1,43.0,2009-04-07 16:31:01,1.697507332205763,6,56.844,3.726137410600065,-4.022030406410107,44.062930407879854,3.995,1.773,9.328000000000003,-0.015271060091591071,0.1767077028565467,0.00029789940636426593,0.03615204924575113,1.062930407879854,0.39649843569142584,3.712159255383393,44.26603481239899,66.219,9.374999999999993
B0029,2,1,43.0,2009-04-07 16:31:01,1.697507332205763,7,66.219,3.712159255383393,-4.024402982095126,44.26603481239899,3.995,1.759,9.374999999999993,-0.013978155216672228,0.20310440451913792,-0.0023725756850190294,0.04211442806636398,1.266034812398992,0.41047659090809807,3.699320110081699,44.47657261673918,75.531,9.312000000000012
B0029,2,1,43.0,2009-04-07 16:31:01,1.697507332205763,8,75.531,3.699320110081699,-4.02147461027646,44.47657261673918,3.995,1.744,9.312000000000012,-0.012839145301693833,0.21053780434019131,0.002928371818666342,0.04803673970130232,1.4765726167391833,0.4233157362097919,3.6871500715704704,44.63494259348186,84.844,9.312999999999988
B0029,2,1,43.0,2009-04-07 16:31:01,1.697507332205763,9,84.844,3.6871500715704704,-4.0221230371725865,44.63494259348186,3.995,1.728,9.312999999999988,-0.012170038511228665,0.1583699767426765,-0.0006484268961264306,0.05395968732331484,1.6349425934818598,0.43548577472102057,3.6759036129816014,44.85253423509384,94.141,9.297000000000011
B0029,2,1,43.0,2009-04-07 16:31:01,1.697507332205763,10,94.141,3.6759036129816014,-4.023660760154148,44.85253423509384,3.995,1.714,9.297000000000011,-0.011246458588868968,0.21759164161198186,-0.001537722981561629,0.0598724591521402,1.8525342350938416,0.44673223330988954,3.665035345507421,45.03474882479476,103.5,9.358999999999995
